Filename,Chroma_Frequencies,Spectral_Centroid,Spectral_Bandwidth,Spectral_Rolloff,Zero_Crossing_Rate,RMSE,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19,MFCC_20,Label
bagpipe.au,-1.091227659,1.542841556,0.549782539,1.055817548,2.46193131,-0.251913456,0.989109973,-1.958979866,-0.8280468,-0.939420999,-2.009168416,-0.22166359,-0.759677106,-0.794892322,0.562889722,0.998927199,0.158141935,0.379887731,1.105492214,0.13263732,1.552941589,0.327326615,1.361963996,1.703361845,0.566637084,0.705638249,0
ballad.au,-1.685762376,-2.267437023,-2.338680709,-2.150558628,-1.530675834,-1.174710622,-2.205489795,2.688932192,0.105731168,-2.099405716,1.005688085,-0.561489014,0.015637151,-1.3726565,-1.070499203,-0.998802715,-0.060293132,-1.212840013,-1.093757737,-1.008472524,-0.300845397,-1.155108327,0.332849897,-0.584079258,-0.03358969,-0.456569774,0
bartok.au,0.052336479,-0.744822473,-1.236499551,-0.888052032,0.009512063,-0.176602539,0.742437212,1.073538244,-1.876975723,-2.011023508,-3.181810959,-0.810004999,-1.901090343,-2.202380685,-1.8948536,-2.324455174,-1.258098209,-0.898049734,-1.388935662,-0.723403771,-0.495831921,0.32543032,0.477126213,0.331302384,-0.697528225,0.146441132,0
beat.au,-0.021853224,0.219323035,0.578280075,0.385406214,0.018555273,0.124966952,0.826162922,-0.400193126,0.556919994,0.068763944,-0.937047574,1.095912994,1.073895197,0.353642869,0.711443253,0.182271708,0.163762836,0.74389312,0.321548918,0.760182921,-0.036351795,-0.321181292,0.201846131,-0.254925112,-0.256667295,0.189683301,0
beatles.au,-0.118132885,-1.392447291,-0.658101456,-1.15186775,-1.627477934,0.98948489,-0.678650268,0.181471637,1.383611623,2.950741946,0.607708855,2.276036589,1.886096381,2.188286564,1.383764995,1.753102535,1.073919767,-0.197157287,0.382179178,0.077346554,-0.701021157,-1.384801974,-1.319005234,-1.147160554,-0.912047503,-0.04234285,0
bigband.au,-0.552234664,0.443887941,-0.095990469,-0.021646298,0.789106351,-0.452483272,0.462121505,-0.527346421,-1.45672521,-0.099173402,0.182153091,-1.613277403,-0.782175897,-1.534960407,-1.969524975,-0.770079436,-1.206719981,0.156680463,0.548389482,0.720417392,1.921346075,2.00661913,2.096888603,2.229068158,2.288255575,0.136913173,0
birdland.au,0.416956132,0.782740091,0.908993939,0.759666078,0.502635337,1.813322067,2.019355701,-0.539686813,0.183244884,0.099624852,0.580353835,-0.125338344,0.514475145,-0.045694137,0.81929348,0.424003123,-0.88686916,-0.039431081,0.507843408,-0.831466997,-0.296846467,-0.365575393,0.848257072,0.746748958,-0.770776097,0.57732779,0
blues.au,0.047002079,-0.228988636,0.366001067,0.019238942,-0.642334458,-1.205788303,-0.837325166,0.013007397,0.426692118,-0.209375392,-0.756710445,0.52100257,0.727403181,0.646100804,1.043869879,0.589476271,0.109157692,0.186935959,-1.164537411,-1.292431645,-0.734351455,0.230656118,-0.226806211,-0.502004363,0.315542965,-0.013476715,0
bmarsalis.au,1.514951353,-0.064948575,0.825759444,0.463244623,-0.825971252,0.80598071,0.850932744,-0.307197248,1.04588139,1.186238893,0.635277486,0.89920055,0.806014325,1.05590481,0.810229926,1.311072253,0.563023502,1.014258311,0.936237342,0.077323608,1.325894392,0.377757816,0.9040366,0.215522772,0.482041867,0.772833665,0
brahms.au,-1.908559071,-1.867287409,-2.358120456,-1.826474217,-0.971825315,1.601596664,0.098040631,2.418538446,-0.999223618,-0.548366334,-0.657669591,-0.926900875,-0.955798601,-1.943257462,-0.454055671,-0.931310757,-0.967178924,-2.176704872,-1.355121568,-2.588392841,-1.23297238,-1.224888372,-0.610586712,-1.01553778,-0.897910209,-0.722792462,0
